tweet,magnitude,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9,embedding10,embedding11,embedding12,embedding13,embedding14,embedding15,embedding16,embedding17,embedding18,embedding19,embedding20,embedding21,embedding22,embedding23,embedding24,embedding25,embedding26,embedding27,embedding28,embedding29,embedding30,embedding31,embedding32,embedding33,embedding34,embedding35,embedding36,embedding37,embedding38,embedding39,embedding40,embedding41,embedding42,embedding43,embedding44,embedding45,embedding46,embedding47,embedding48,embedding49,embedding50,embedding51,embedding52,embedding53,embedding54,embedding55,embedding56,embedding57,embedding58,embedding59,embedding60,embedding61,embedding62,embedding63,embedding64,embedding65,embedding66,embedding67,embedding68,embedding69,embedding70,embedding71,embedding72,embedding73,embedding74,embedding75,embedding76,embedding77,embedding78,embedding79,embedding80,embedding81,embedding82,embedding83,embedding84,embedding85,embedding86,embedding87,embedding88,embedding89,embedding90,embedding91,embedding92,embedding93,embedding94,embedding95,embedding96,embedding97,embedding98,embedding99,nrc-anger,nrc-anticipation,nrc-disgust,nrc-fear,nrc-joy,nrc-sadness,nrc-surprise,nrc-trust,senti-pos,senti-neg
Depression sucks! #depression,0.958,0.06991622900000001,-0.014243133,-0.0070410690000000005,0.009372138,0.045525419000000004,-0.016824106000000002,-0.004369286,0.032446614,-0.016809303,0.024845327,-0.039573208,0.018959924,-0.060385939000000007,-0.000849,0.023168177999999998,0.079392123,0.034921991,0.018730284,0.031765726,0.07097339700000001,0.024440674,0.01214656,-0.008091525,-0.012551228999999999,-0.046955607999999996,0.010675186000000001,-0.03537925,0.026115097,0.049139515,0.010623268,0.021411042999999998,0.046273207999999996,0.014393703999999998,0.019388931,0.009886052,-0.027548347,0.041513642999999996,-0.010732318999999999,-0.064632119,-0.04776438400000001,-0.016840787,0.000681,0.016712021,0.031915242,0.024302885,0.007498363,-0.074264521,0.052907675999999994,-0.09612716199999999,-0.045187690999999995,-0.009064286,0.061550956,0.011860053,0.065678359,0.087072331,-0.054060277999999996,0.053952365999999995,-0.003953811,0.061612879,0.014395435,0.057570098,-0.048893158,-0.047995395,-0.006796811,-0.10586693400000001,0.01526292,0.028067849,-0.021598209,0.11354337199999999,0.074873005,-0.101093646,0.011742271,0.070824445,-0.059473662000000004,0.010962533,0.041698942999999995,-0.06931095799999999,-0.016013641999999998,0.001896578,0.024434077999999998,0.05258167,0.023887512000000003,0.067100849,-0.016573029,-0.05512466,0.082165056,0.002110437,0.09036788300000001,0.053344917,-0.044138147,0.033344301,0.098698702,0.056850387999999995,0.005392926,0.022746224,0.033559797999999995,0.062377695,-0.025708863999999998,-0.050974535,-0.075337946,0.41831450299999995,0.0,0.09074358699999999,1.8331999319999999,0.138674664,2.5454295890000003,0.0,0.0,0.0,-0.40918560600000004
Feeling worthless as always #depression,0.958,0.038696905,-0.017045339,0.058730662999999995,0.04963875,0.040886808999999996,-0.0012172160000000001,0.04568873,-0.021165454,-0.045701689000000004,0.09642791199999999,0.009862056,-0.001179423,-0.122894204,-0.021608922000000003,-0.028630801,0.041838203,0.037455286000000004,-0.043247209,-0.063925513,0.09121969199999999,0.064993896,-0.029946422,0.060920184,0.022867627,0.012647898999999999,-0.013248606000000001,0.035854453,0.013059088,0.104002709,-0.015741356,-0.035581407999999995,0.145151879,-0.00495002,-0.014153609,0.074472736,-0.087318619,-0.025973987999999996,-0.035824099,-0.03984108,-0.068995831,-0.012505515,0.024711449,-0.006377434,0.05929185,0.13633847400000002,0.0358821,-0.045213083,-0.077283271,-0.09441922900000001,0.014214415,0.032064572,0.050669549,-0.027968712000000003,0.061445265,0.07904332900000001,-0.033253673,0.042761278,0.003008542,0.01243094,-0.044317692,-0.029039013,-0.102731045,-0.059088355,-0.030579331,-0.078425465,0.010642888,0.03831411,0.058066467999999996,0.07562732,0.060243935,-0.062980429,-0.004125327,-0.007079684,-0.015018288999999999,0.004565865,0.028685582999999997,-0.062964432,-0.021804457000000003,-0.0025226339999999997,0.073345254,0.077557763,-0.092048448,0.07527476400000001,-0.044713783,-0.100230995,0.11172465599999999,-0.020283753,0.115581031,0.083036375,-0.06368611,0.112366069,0.05105602099999999,-0.015006601999999999,0.015838308,0.012831707,0.040961842000000005,0.004450336,-0.01901048,0.06583455099999999,-0.054554708,0.315844225,0.0,0.8402891370000001,1.865375798,0.41146509200000003,0.905299133,0.0,0.207211636,0.0,-0.5708333329999999
Feeling worthless as always,0.958,0.029024797,0.00664078,0.062624838,0.061904043,0.037506446,-0.002580625,0.098822854,-0.044837775,-0.044803264,0.061400149,-0.012306548999999998,-0.04024973,-0.132525051,-0.01420665,-0.040444761,0.0054126999999999995,-0.007966919,-0.060279015,-0.108108356,0.112748728,0.080492509,-0.03901437,0.075274099,0.064894879,-0.0026314859999999997,-0.045698492,0.083585173,-0.002808829,0.124006085,-0.042006379,-0.045186887,0.153189376,0.018416693,-0.055070185,0.11226035699999999,-0.07710663799999999,-0.048907395,-0.042472754,-0.062100366,-0.055225017,-0.0092291,-0.009149639000000001,0.004524083,0.09054051,0.15302475199999999,0.037548707,-0.043192479000000006,-0.133583693,-0.076612032,0.021902419,0.033037208,0.07672517,-0.056075265,0.105151922,0.106002584,-0.002246201,0.028142027000000003,0.019766887,-0.003312401,-0.013956933999999999,-0.029798165,-0.117077636,-0.06831419400000001,-0.04828799,-0.061625333,-0.032302624,0.010874911999999999,0.079892785,0.048422294000000005,0.061260286,-0.10804607,-0.015871797,-0.016414247,0.013139362,0.052125499000000006,0.017422268,-0.049068762,-0.034509524,-0.013678862,0.111807785,0.08176696,-0.117900121,0.081325754,-0.050056279,-0.087567479,0.142874811,-0.030876186,0.157204943,0.078244114,-0.077574301,0.106747494,0.045170125,-0.027106425,0.011930055,-0.011050856000000001,0.01948593,0.047479864000000004,-0.069255287,0.09494554,-0.040194728,0.315844225,0.0,0.8402891370000001,0.39635305600000004,0.41146509200000003,0.208482384,0.0,0.207211636,0.0,-0.5708333329999999
My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,0.946,0.007718798000000001,-0.039997104,0.037585635,-0.019351272,0.03651443,0.005743496999999999,0.008805754,-0.003408307,0.00780098,0.010944173,-0.019009687,0.012642828,-0.06512008799999999,-0.053027269,0.002977638,0.035382237999999996,0.011480468999999998,-0.037953826,-0.03223478,0.039623897000000005,0.021002817000000003,-0.035396136,0.015274436,0.030341802,-0.039018721,-0.072971383,0.043520601,0.026223289,0.027502862000000003,-0.045319315,-0.032891919,0.033654916,0.004395205,-0.0038027020000000003,0.016422345,-0.024328506,-0.026956145,-0.0009119999999999999,-0.047639096,-0.042287873,-0.012762444,-0.02026275,0.026890235,0.05702047,0.070202656,0.041156452,-0.005103357,0.007226024,-0.014998458999999999,-0.010705858,0.044513464,0.055878238,-0.009730003000000001,0.051706735999999996,0.076906346,-0.0034088770000000003,0.032765969,0.029201063,0.035874564,0.013256486999999999,0.019897352,-0.018988381000000002,-0.06783019400000001,-0.024726524,0.012221262,0.021895872,0.011165643000000001,0.032032087,0.032322452,0.058340239,-0.098032842,0.009590113,0.03218331,-0.002677899,-0.001891771,0.009899052,-0.036213962999999995,-0.02615343,0.023499058,0.019058302,0.020408605,-0.002182705,0.098689264,0.03725501,-0.042572374,0.112097784,-0.01275115,0.09804951199999999,0.02008937,-0.056454347,0.034843467,0.022990893999999998,-0.020334995,-0.035890314,-0.008785974,-0.007183167,-0.00211628,-0.027720501,0.023942388999999998,-0.009391611,0.6281029229999999,0.419467925,0.08560451300000001,7.305248081,1.3579952219999998,1.7851496980000001,1.420240885,0.0,3.795759308,-2.3325795730000003
Im think ima lay in bed all day and sulk. Life is hitting me to hard rn,0.934,0.070497668,-0.080621097,0.03814553,-0.025839672,0.034710901,0.046789788,0.063413956,0.01507991,0.021381572999999997,-0.02811684,0.016461551,0.014698475,-0.09332499699999999,0.029064787,0.024887857000000003,-0.010414656,-0.014658121999999999,-0.01174091,-0.026352472000000002,0.075110203,0.031678312,0.014706132,0.021806635,0.032753878,-0.024049126,-0.036934398,0.10753208800000001,0.082277093,-0.004803935,-0.024343435,-0.066507903,0.021475194,-0.0028319990000000004,-0.03010908,0.018294395,0.037326095,-0.030945352000000002,0.028168425,-0.07831210799999999,0.012640358,-0.025967419,-0.028029711000000002,0.039717928,0.071845281,0.023399305,0.0044347629999999996,-0.032504629,0.023653603,-0.034940485,-0.033065235,0.018624118000000002,0.059825077000000004,-0.0031705590000000003,0.041798235,0.093652746,0.023771571000000002,0.028714267,0.005418274,-0.00796959,0.052730517000000005,0.02274011,-0.080024111,-0.049348393,-0.026845036,-0.057084228,0.029147337000000002,0.053809450999999994,0.072231358,0.018949719,0.064760126,-0.055316037,-0.004255805,0.024924397999999997,-0.017300393,-0.019731784,-0.008236472,-0.023273792999999997,0.008686069,0.019538534,0.09951415699999999,0.038426972999999996,-0.035827277000000005,0.12455198699999999,0.055613027999999995,-0.026155896,0.060696837999999996,0.020169467,0.07104949099999999,-0.019082829,-0.027164501,0.08330164400000001,0.073201529,-0.009143039,-0.054378185,-0.042054339,0.012222775,0.029721672999999997,-0.022685535,0.051058855,0.007517281999999999,0.976018362,0.10674326,0.535715658,0.0,1.798295432,0.577191641,0.39825175700000004,1.090463422,0.7270014709999999,-1.691071429
So when I try I fail... and when I dont try... I still fail... #confused and #lost,0.917,0.04959703,-0.089272893,0.050188547,0.020323342,0.032362492,-0.003522522,0.111148594,0.020096056,0.025263436,-0.006607399,0.004203857,0.004641812,-0.075751794,-0.051545846,0.026419609,0.039539302,0.001424725,-0.011087643000000001,-0.058488929,0.051253007999999996,0.046616081,-0.008840802,0.050734755,0.028669891,0.016542893,-0.073455363,0.081120589,0.09290188199999999,-0.014427478999999998,-0.028621512999999998,-0.029799548999999998,0.005621986,-0.00859569,-0.087049316,-0.011287356,-0.042125552000000004,-0.058012028,0.032829367000000005,-0.061575409000000005,0.047207745,-0.0024682,-0.033469013,0.029598533,0.091131617,0.07583514200000001,0.094385952,-0.050363085999999994,-0.037034849,0.001324668,-0.034998277,0.028544516000000002,0.085598188,-0.020585433,0.079526903,0.106997861,0.018772582,0.025310496000000002,0.04858453,-0.007099006,0.026606242999999998,-0.033054395,-0.078471179,-0.061811030999999995,-0.01855609,-0.066339017,0.010410031,0.035870242000000004,0.072909755,-0.035963017,0.054135777999999996,-0.125053337,0.00580299,0.041792108,-0.026315396,-0.012909888999999999,0.007998522,-0.004914449,-0.033218467,0.017229321000000002,0.077098337,0.10543233800000001,-0.036041328,0.054288908,0.062470874,0.043884575999999995,0.118487735,-0.045814243,0.038944841,-0.024141566,0.006934572,0.098475034,0.08405301300000001,-0.022178206000000002,-0.035341689,-0.059214879000000005,0.011378407,0.037781622,-0.07861443,0.068021382,-0.07289069299999999,1.8460947630000002,0.0,0.093295423,0.420477235,0.0,1.3537992209999998,1.260649895,1.7398057,0.194642857,-2.398719336
Extreme sadness,0.917,0.057230575,0.039819471,0.11222763,0.071375815,0.007592666999999999,-0.151964016,0.037898323,-0.050449045,0.060062286,0.029012324,-0.112439539,0.118129656,-0.039334497,-0.041019516,0.079850582,0.08957681199999999,0.024448432000000003,0.08928955699999999,-0.04947711900000001,0.126610704,0.093434948,0.10165191400000001,-0.002198484,-0.055042706,-0.126824148,-0.073752999,0.17228415600000002,0.119093064,0.084086794,-0.09172458800000001,-0.145898931,0.091231089,0.00020899999999999998,0.145319387,-0.049154977999999995,-0.005635006,0.08398997,-0.058919972,-0.058842007,-0.09687132400000001,0.039820428,0.038641755,0.078860983,-0.008748878,0.182442524,0.00021899999999999998,-0.002017155,0.036065068,-0.064133018,-0.045639190999999996,0.058738266,0.09904908,0.040349215,0.145061661,0.09990925699999999,-0.051728434000000004,0.109075479,-0.072522253,0.10242907300000001,-0.028666011,0.037701575,0.089475198,-0.068390511,-0.032419513999999997,-0.05668741,0.07799999,0.015500466000000001,0.049964914000000006,0.131538859,0.0224411,-0.146778628,-0.002731952,-0.005081765,-0.154156059,0.048697102,-0.029654012999999996,-0.132048581,-0.03567857,0.064277561,-0.03652141,-0.010272432,0.126479726,0.01684817,-0.08495866699999999,0.039492431,-0.02645376,0.081490813,0.124712575,0.008085508,-0.083365412,-0.012550818,0.031566271,0.024614546,-0.053083515,-0.024602026000000003,-0.078665679,-0.007214628000000001,-0.04688138099999999,-0.031326275,-0.11968736,0.0,0.0,0.40787503,0.0,0.262114012,1.7877180190000002,0.062143895,0.0,0.0,-0.84375
my life in one word is depressing,0.917,0.046204693,-0.006805024000000001,0.00027400000000000005,0.028063149,0.052162614,0.06317126099999999,0.050963977,-0.042334102,-0.025132436,-0.079796681,-0.016272731000000002,0.003453485,-0.132853296,-0.025350671,-0.032561821,0.024383875,-0.011688206999999999,-0.058133400999999994,-0.066437332,0.090482634,0.06644892200000001,-0.043717609000000004,0.035458621,0.012558541999999999,-0.059488214000000005,-0.053914137,0.102061728,0.057301669000000006,-0.013435677,-0.019048759,-0.042919051,0.096005585,-0.000604,-0.002899033,0.0014625320000000001,-0.0033279090000000004,0.008718878000000001,-0.013213155,-0.099937576,-0.042182199000000004,-0.051590606,-0.066175615,0.040983851,0.08008849400000001,0.012729143,-0.02958535,-0.0062660780000000004,-0.008965396,-0.018660764,-0.02262288,0.041315082,0.092442761,-0.046353579000000006,0.060386689,0.107319596,-0.011930556,0.030390885,0.049955082000000005,-0.018437101,-0.010139551,0.041438372,-0.017211038999999997,-0.103587347,0.010350891999999999,-0.012089,0.043037097,-0.057906127,0.088311822,0.055472766,0.07643695,-0.12898204800000002,0.003964304,0.050118156,0.012506676999999999,-0.009303954,0.017214014,-0.010237267,0.034765385,-0.02882344,0.029249623,0.035860962,0.007946235,0.111224225,0.037423879,0.010469228,0.073786388,0.029985556,0.09684202900000001,0.05713562,-0.066277196,-0.009626326999999999,0.037836404,0.002260468,-0.097607026,-0.01742656,0.030399247,-0.032803578,-0.024796857000000002,0.021083638999999998,-0.093529443,0.11101013,0.12333188699999999,0.09488819,0.0,0.589348546,1.6794511280000002,0.0059198390000000005,0.283580457,0.09375,-0.25
Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,0.917,0.029363051,-0.060760927,0.026987032,-0.00670386,0.06396900700000001,-0.0057169659999999995,0.073086014,-0.004645674,0.022203017000000002,-0.022739126000000002,-0.01798829,0.041715243,-0.101770142,-0.03412493,0.0029381309999999996,0.041817277,-0.021121862,-0.000534,-0.028625543,0.054950217999999995,0.049613248,-0.010566929,0.034374125,0.033515287000000005,-0.048429597000000005,-0.08422885199999999,0.07949565900000001,0.074066617,0.022865296,-0.066553751,-0.06606833599999999,0.029633318999999998,-0.0033016070000000002,-0.023428864,0.036964527999999996,-0.016995293,-0.010158899,0.019382605,-0.066470184,-0.009381621,-0.021396794,-0.037047646000000004,0.02561501,0.075545671,0.077585115,0.041544991,-0.037882745,-0.039552267,-0.022951429,-0.029261528,0.050432562,0.036565595,-0.035890393,0.081263723,0.110819993,-0.01313107,0.022503551,0.040857485,0.023155693999999998,0.049879627,0.016828324,-0.049874845,-0.064545528,-0.0583668,-0.028263267999999998,-0.003079327,0.042101327,0.069880729,0.005370283000000001,0.042306855,-0.09858696800000001,0.0008710000000000001,0.03670827,-0.030516695,0.016298846999999998,-0.00698434,-0.027218327999999996,-0.041111613,0.00377531,0.067248394,0.07143128,-0.02532341,0.08758733699999999,0.058528527999999996,-0.023846801,0.13013975,-0.017593676000000003,0.08648563199999999,-0.02278205,-0.033819416,0.066691837,0.066983807,-0.0075374940000000005,-0.017487297,-0.044698517,0.004113675,0.021059489,-0.056329647000000004,0.047522512999999995,-0.021524531,0.6799559140000001,0.0,1.5395485709999999,8.712492341,0.41146509200000003,0.905299133,0.49380655100000004,0.009659767,0.666666667,-3.5254464289999996
Feel so grim + ugly atm,0.8959999999999999,0.020170566,-0.033480063,-0.0018807670000000002,-0.01059352,0.067326233,-0.078359181,0.038515977,0.003320783,-0.016642871,0.063741678,0.024193087999999998,-0.047780797,-0.050248423,-0.027981151,0.008478925,0.021849276,-0.046782903,-0.031544837,0.007799275,-0.001932924,0.082809406,-0.015142089,0.019129911,-0.010670428000000001,-0.026722628,-0.059028563,0.012344658,-0.014102132,0.055098434,-0.045944228,-0.033741825,0.044302258,0.049973692,0.037764709,-0.045074780999999994,-0.09420133300000001,-0.044096752999999995,-0.006096326,-0.095315808,-0.064556467,0.021838563999999998,0.002318863,0.0112459,0.016955223000000002,0.082468909,0.018015232,0.047266837,-0.046739258,0.049212575999999994,-0.023885182,-0.018307969,0.11731935199999999,0.011345003999999999,0.017173416,0.068527534,-0.010551808999999999,0.065805572,0.021359858,0.019650788,0.042554092,0.02593866,0.0006889999999999999,-0.051193605,-0.041418561,-0.023563651,0.030459845,0.056598082,0.040228816,0.067603348,0.059891045,-0.047837552,-0.009960218,-0.068285112,-0.022470867999999998,-0.002161413,-0.023668165,0.006619303000000001,0.011582516999999999,-0.03935772,0.047262685,0.030741442,-0.053450791,0.07664457400000001,-0.024659202999999998,-0.059877535999999995,0.079842182,-0.002261641,0.056220904,0.029023364,-0.033491228,0.064301561,0.022366694,-0.011760423999999998,0.046330351,-0.036486015,0.01420502,0.044482497999999995,-0.025125017000000003,0.016962328,-0.03611767,0.250359616,0.0,2.008600661,0.286178343,0.0,1.406772935,0.072982381,0.0,0.308333333,-1.5851190480000001
